sentiment,airline,text
negative,United,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!"
negative,Delta,@JetBlue I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.
negative,Delta,@JetBlue I'll give u a chance but I don't think I'll fall for it #backtodelta
negative,United,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
negative,US Airways,"@USAirways yes, I was rebooked the next day (Weds). Thanks. Just upset that I lost 2 additional work days AND paid for my own hotel. #losing"
positive,Southwest,@SouthwestAir flight from BWI to ISP ready to go! Thanks for keeping us warm! #FrigidFriday http://t.co/bfPfW6eyKU
negative,US Airways,@USAirways : We Suck -- And Pass the Savings on to Us! #usairwaysfail
negative,Southwest,@SouthwestAir super disappointed today. First time we've had to stress and now book a flight on another airline while at the airport
negative,Southwest,@SouthwestAir i just recieved an email from your memphis station hopefully they have my bag.
negative,American,@AmericanAir I wasn't important this morning when you would not seat my wife and I together or allow me to choose seats at Flight Booking Problems!!
negative,American,"@AmericanAir if my flight gets Cancelled Flightled i should be able to reschedule to any date i want, not the next day or 2 days after"
positive,American,"@americanair new plane, #gogo, easy power for laptop, iPhone, just missing a good boat-style swivel cup holder for my #dietcoke #happyflier"
negative,Delta,@JetBlue they couldn't do it sun then it was supposed to be mon after 6pm then today from 11 to 3 then from 6 to 8
neutral,United,@united lets do that can you email boarding pass?
negative,American,@AmericanAir don't merge with an airline that ain't ready for prime time and book your elite flyers on it! #NotHappy @USAirways #NeedCoffee
negative,United,"@united : flight delayed by 24 hours, lost my wallet, have no money to eat or sleep yet your representatives will not help.#unitedsucks"
neutral,Southwest,@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
negative,American,@AmericanAir it isn't good enough. You need to provide a phone number. Other partners do. Should be investigated by @IATA @TheFAAOnline
neutral,Delta,but why RT @JetBlue: Our fleet's on fleek. http://t.co/W0HOAewhwS
negative,American,@AmericanAir Have been trying to reach American Airlines since last evening to Cancelled Flight flights. WORST CUSTOMER SERVICE EVER! What now???
negative,Delta,@JetBlue I'm sick of y'all.
negative,United,"@united I'm counting on you, please don't let me down! #delayed #again #needtocatchmynextflight #alreadyrebookedonce"
negative,US Airways,@USAirways worst customer service I've ever experienced. I'll never fly your airline ever again. I have to pay to sleep in Philly. Fuck you.
neutral,US Airways,@USAirways with chocoLate Flight please... i m melting http://t.co/jJdoSFYIBM
negative,United,"@united no, we still have not heard anything from anyone at @united or the @ErieAirport"
negative,Delta,@JetBlue DONT LOSE MY LUGGAGE!!!
neutral,United,@united Can you explain how it rewards us elite Premiere 1K members?
negative,US Airways,@USAirways tells me to talk to @AmericanAir about my delayed flights. AA tells me to talk to US. #ihatemergers
negative,United,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!"
neutral,Delta,@JetBlue Just sent it
neutral,American,@AmericanAir did you know that suicide is the second leading cause of death among teens 10-24?
negative,US Airways,@USAirways Strike Three!!! You guys suck!!!
negative,United,"@united Change made in just over 3 hours. For something that should have taken seconds online, I am not thrilled. Loved the agent, though."
negative,Delta,@JetBlue I get Sunday due to weather and ok Monday they're busy but this is crazy
negative,United,@united are the miles going to be restructured? Help a silver status brotha out! I thought I was winning with you guys until today lol
positive,United,"@united thank you.
It's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
Please assist with earlier flts to Cmh?"
negative,United,"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight."
negative,American,"@AmericanAir why does your customer service line say ""we are experiencing high call volume"" and then spontaneously hangup on the person?"
positive,US Airways,“@USAirways: @hegshmeg O” thank you for that elaborate response
negative,American,@AmericanAir my bags were checked through to Cancelled Flightled flight 362. When will they arrive in MKE? Not much help from grnd staff. Havoc in DFW
negative,Southwest,"@SouthwestAir if you are going to be inconsistent enforcing your rules, I'd prefer you not randomly take it out on freq flyers that obey"
negative,American,@AmericanAir employees are racist!!!!!
